Campaign,Campaign Daily Budget,Campaign Type,Campaign Status,Ad Group,Max CPC,Ad Group Status,Keyword,Criterion Type,Final URL
PCG | TAX | EN,25.00,Search,Paused,Extension deadline,4.00,Enabled,tax extension deadline,Phrase,https://pinedoconsulting.com/taxes/deadlines
PCG | TAX | EN,25.00,Search,Paused,Extension deadline,4.00,Enabled,file extended tax return,Phrase,https://pinedoconsulting.com/taxes/deadlines
PCG | TAX | EN,25.00,Search,Paused,Extension deadline,4.00,Enabled,october 15 tax deadline,Phrase,https://pinedoconsulting.com/taxes/deadlines
PCG | TAX | EN,25.00,Search,Paused,Extension deadline,4.00,Enabled,extended tax return help,Phrase,https://pinedoconsulting.com/taxes/deadlines
PCG | TAX | EN,25.00,Search,Paused,Extension deadline,4.00,Enabled,tax extension filing help,Phrase,https://pinedoconsulting.com/taxes/deadlines
PCG | TAX | EN,25.00,Search,Paused,Personal returns,4.00,Enabled,tax preparer austin,Exact,https://pinedoconsulting.com/taxes/personal
PCG | TAX | EN,25.00,Search,Paused,Personal returns,4.00,Enabled,tax preparation austin tx,Exact,https://pinedoconsulting.com/taxes/personal
PCG | TAX | EN,25.00,Search,Paused,Personal returns,4.00,Enabled,personal tax return preparation,Phrase,https://pinedoconsulting.com/taxes/personal
PCG | TAX | EN,25.00,Search,Paused,Personal returns,4.00,Enabled,1040 preparation service,Phrase,https://pinedoconsulting.com/taxes/personal
PCG | TAX | EN,25.00,Search,Paused,Personal returns,4.00,Enabled,individual tax preparer near me,Phrase,https://pinedoconsulting.com/taxes/personal
PCG | TAX | EN,25.00,Search,Paused,Back taxes,3.50,Enabled,late tax return help,Phrase,https://pinedoconsulting.com/taxes/personal
PCG | TAX | EN,25.00,Search,Paused,Back taxes,3.50,Enabled,back taxes help austin,Phrase,https://pinedoconsulting.com/taxes/personal
PCG | TAX | EN,25.00,Search,Paused,Back taxes,3.50,Enabled,havent filed taxes in years,Phrase,https://pinedoconsulting.com/taxes/personal
PCG | TAX | EN,25.00,Search,Paused,Back taxes,3.50,Enabled,prior year tax return,Phrase,https://pinedoconsulting.com/taxes/personal
PCG | TAX | ES,25.00,Search,Paused,Prorroga,3.00,Enabled,declaracion de impuestos prorroga,Phrase,https://pinedoconsulting.com/es/impuestos/fechas-limite
PCG | TAX | ES,25.00,Search,Paused,Prorroga,3.00,Enabled,fecha limite impuestos octubre,Phrase,https://pinedoconsulting.com/es/impuestos/fechas-limite
PCG | TAX | ES,25.00,Search,Paused,Prorroga,3.00,Enabled,declarar impuestos tarde,Phrase,https://pinedoconsulting.com/es/impuestos/fechas-limite
PCG | TAX | ES,25.00,Search,Paused,Declaracion personal,3.00,Enabled,declaracion de impuestos austin,Phrase,https://pinedoconsulting.com/es/impuestos/personales
PCG | TAX | ES,25.00,Search,Paused,Declaracion personal,3.00,Enabled,preparador de impuestos en espanol,Phrase,https://pinedoconsulting.com/es/impuestos/personales
PCG | TAX | ES,25.00,Search,Paused,Declaracion personal,3.00,Enabled,contador de impuestos cerca de mi,Phrase,https://pinedoconsulting.com/es/impuestos/personales
